GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
code-coverage/domain,com.backend.domain.happening.media,MediaKind,15,0,0,0,2,0,1,0,1,0
code-coverage/domain,com.backend.domain.happening.media,MediaRef,12,0,0,0,1,0,1,0,1,0
code-coverage/domain,com.backend.domain.happening.metadata,IncidentMetadata.IncidentMetadataBuilder,22,44,1,1,0,1,2,7,1,7
code-coverage/domain,com.backend.domain.happening.metadata,EventMetadata.EventMetadataBuilder,37,50,4,4,0,1,5,7,1,7
code-coverage/domain,com.backend.domain.happening.metadata,EventMetadata,20,83,4,10,0,14,4,7,0,4
code-coverage/domain,com.backend.domain.happening.metadata,IncidentMetadata,11,70,3,7,2,11,3,6,0,4
code-coverage/domain,com.backend.domain.user,ActorId,0,6,0,0,0,1,0,1,0,1
code-coverage/domain,com.backend.domain.user,Actor,0,12,0,0,0,1,0,1,0,1
code-coverage/domain,com.backend.domain.user,Comment.CommentBuilder,20,32,2,2,0,1,3,5,1,5
code-coverage/domain,com.backend.domain.user,Comment,12,62,3,9,1,12,3,6,0,3
code-coverage/domain,com.backend.domain.user,Role,0,21,0,0,0,4,0,1,0,1
code-coverage/domain,com.backend.domain.happening,Event.Builder,0,50,0,0,0,13,0,8,0,8
code-coverage/domain,com.backend.domain.happening,IncidentEngagementStats.IncidentEngagementStatsBuilder,8,28,0,0,0,1,1,5,1,5
code-coverage/domain,com.backend.domain.happening,Incident,25,165,6,12,2,43,6,10,0,7
code-coverage/domain,com.backend.domain.happening,Incident.Builder,0,58,0,0,0,15,0,9,0,9
code-coverage/domain,com.backend.domain.happening,Happening.Builder,30,3,0,0,10,1,5,1,5,1
code-coverage/domain,com.backend.domain.happening,IncidentEngagementStats,5,35,3,3,1,4,3,3,0,3
code-coverage/domain,com.backend.domain.happening,Event,12,82,3,7,0,20,3,5,0,3
code-coverage/domain,com.backend.domain.shared,Location.LocationBuilder,20,32,2,2,0,1,3,5,1,5
code-coverage/domain,com.backend.domain.shared,Location,10,74,5,11,0,13,5,6,0,3
code-coverage/domain,com.backend.domain.shared,SentimentEngagement,0,68,1,3,0,17,1,8,0,7
code-coverage/domain,com.backend.domain.shared,SentimentEngagement.SentimentEngagementBuilder,6,21,0,0,0,1,1,4,1,4
